make,model,yom,transmission,fuel_type,engine_capacity,mileage,price
MITSUBISHI,4DR5 J20,1967,MANUAL,DIESEL,2300,100000,2200000
MITSUBISHI,OUTLANDER,2013,AUTOMATIC,HYBRID,2000,138000,13250000
MITSUBISHI,MONTERO,2011,AUTOMATIC,DIESEL,2500,1822183,15500000
MITSUBISHI,PAJERO,1987,MANUAL,DIESEL,2800,356428,4550000
MITSUBISHI,MONTERO V6,2001,AUTOMATIC,PETROL,2800,100000,12500000
MITSUBISHI,4DR5,1967,MANUAL,DIESEL,4,210000,2900000
MITSUBISHI,PAJERO,1989,MANUAL,DIESEL,2500,123456,5200000
MITSUBISHI,MONTERO,2012,AUTOMATIC,DIESEL,2500,152000,16700000
MITSUBISHI,MONTERO,2000,AUTOMATIC,PETROL,3500,164000,12200000
MITSUBISHI,CANTER,1997,MANUAL,DIESEL,3560,210000,3675000
MITSUBISHI,CANTER,1988,MANUAL,DIESEL,3960,85321,1775000
MITSUBISHI,L200,1993,MANUAL,DIESEL,2500,299850,3950000
MITSUBISHI,STRADA,1992,MANUAL,DIESEL,2800,200000,5400000
MITSUBISHI,STRADA,1992,MANUAL,DIESEL,2500,284,5500000
MITSUBISHI,L200,2011,MANUAL,DIESEL,2500,150000,9575000
MITSUBISHI,L200,2008,MANUAL,DIESEL,2500,196000,9700000
MITSUBISHI,L200,2000,MANUAL,DIESEL,2500,899,675000
MAHINDRA,MAHINDRA,2012,MANUAL,DIESEL,2,180000,4200000
MAHINDRA,BOLERO,2013,MANUAL,DIESEL,2523,67289,2900000
MAHINDRA,GENIO DC VX,2015,MANUAL,DIESEL,2489,294989,4500000
MAHINDRA,BOLERO,2011,MANUAL,DIESEL,2800,58000,2585000
MAZDA,DX WAGON,1987,MANUAL,PETROL,1300,185000,1075000
MAZDA,FAMILIA,1985,MANUAL,PETROL,1200,949494,600000
MAZDA,BHA3P,1997,MANUAL,PETROL,1300,247000,2650000
MAZDA,3,2016,AUTOMATIC,PETROL,1598,85000,14500000
MAZDA,DEMIO,1997,AUTOMATIC,PETROL,1400,185000,2925000
